09D	(Aisin/TR-60SN)
AKPP_GM3L30TH180	(GM/3L30)
AKPP_GM3T40_TH125C	(GM/3T40)
AKPP_GM4L30EAR25AR35	(GM/4L30E)
AKPP_GM4L40EBMW3_series	(GM/4L40E)
AKPP_GM4L60E4L65E4L70E700R4	(GM/4L60E)
AKPP_GM4L80E_4L85E3L80	(GM/4L80E)
AKPP_GM4T40E4T45E	(GM/4T40E)
AKPP_GM4T80E	(GM/4T80E)
AKPP_GM6L456L45R6L50	(GM/6L45)
AKPP_GM6L806L90	(GM/6L80)
AKPP_GM6T406T30_6T45_6T50	(GM/6T40)
AKPP_GM8L45E8L90E	(GM/8L45E)
AKPP_GMVT20_VT25	(GM/VT20)
AKPP_GS7D36SG	(Getrag/GS7D36SG)
AKPP_JF011E_RE0F10A	(Jatco/JF011E)
AKPP_JF015E_RE0F11A	(Jatco/JF015E)
AKPP_JF016E_RE0F10D	(Jatco/JF016E)
AKPP_JF017E_RE0F10E-H	(Jatco/JF017E)
AKPP_JF018E_RE0F03H	(Jatco/JF018E)
AKPP_JF020E_RE0F12A	(Jatco/JF020E)
AKPP_JF404E	(Jatco/JF404E)
AKPP_JF405E_JF402SR410_SR412SR413	(Jatco/JF405E)
AKPP_JF506E_RE5F01A_09A	(Jatco/JF506E)
AKPP_JF613EF6AJAAJO	(Jatco/JF613E)
AKPP_JR405E	(Jatco/JR405E)
AKPP_JR710E_RE7R01AB	(Jatco/JR710E)
AKPP_KM175KM176KM177A4AF2A4BF1A4BF2	(Hyundai/Mitsubishi/KM175)
AKPP_MERCEDES_725_0	(Mercedes-Benz/9G-TRONIC)
AKPP_Powershift6DCT250_450MPS6_470SPS6	(Getrag/6DCT250)
AKPP_R4AX_ELEC887_98	(Hyundai/Mitsubishi/R4AX-EL)
AKPP_RE4F03A_BRE4F03A_VRE4F03B_WRL4F03A_V	(Jatco/RE4F03A)
AKPP_RE4F04A_BRE4F04ARE4F04BRE4F04V	(Jatco/RE4F04A)
AKPP_RE4R01ARL4R01ARE5R01AR4A_EL	(Jatco/RE4R01A)
AKPP_RE4R03A_JR404ERG4R01A_JR403E	(Jatco/RE4R03A)
AKPP_RE5R05AJR507A	(Jatco/RE5R05A)
AKPP_RL4F02ARE4F02A	(Jatco/RL4F02A)
AKPP_TF_70SC_72SCAT673SC	(Aisin Warner/TF-70SC)
AKPP_TF_80SC_81SCAM6AF21AF40	(Aisin Warner/TF-80SC-81SC)
AKPP_TF60SN_09G	(VW/Audi/09G)
AKPP_U140U140EU140FU240U240EU241U241E_340	(Toyota/Aisin/U140)
AKPP_U150EU151U151EU250U250EU250E_F341	(Toyota/Aisin/U150E)
AKPP_U340E_U341E_343	(Toyota/Aisin/U340E)
AKPP_U440EU441AW80_40LEAW81_40LEAW81_40LS	(Toyota/Aisin/U440E)
AKPP_U540EA4QA4R	(Toyota/Aisin/U540E)
AKPP_U660E_U760E	(Toyota/Aisin/U660E)
AKPP_U660EU760E	(Toyota/Aisin/U660E)
AKPP_U880E_U881E	(Toyota/Aisin/U880E)
AKPP_U881F_TG_81SC_AF_50_8_AWF8F35_UA80E	(Toyota/Aisin/U881F)
AKPP_V5A51R5A51V4A51R4A51	(Hyundai/Mitsubishi/V5A51)
AKPP_ZF6HP19_21	(VW/Audi/09L)
AKPP_ZF6HP28	(ZF/6HP28)
AW60	(Aisin/AW60-40LE)
TF-7xSC	(Aisin/TF-70SC)
TF80SC_81SC	(Aisin/TF-80SC)
Toyota_eCVT_HSD	(Toyota/Aisin/e-CVT)
